N° Projet;Montant Loyer;Durée;;Montant Financé
39987;NULL;NULL;NULL;NULL
39991;645;20;5,892;10947,0468
39994;NULL;NULL;NULL;NULL
38663;2187,48;4;7,065;30962,2081
39995;47;36;3,369;1395,0727
40193;498;21;5,549;8974,59
40007;226,25;21;6,093;3713,2775
40019;133,04;21;6,387;2082,9811
37739;333;21;5,757;5784,2626
39716;273,92;4;7,569;3618,9721
40042;NULL;NULL;NULL;NULL
38105;NULL;NULL;NULL;NULL
40043;1331;21;5,549;23986,3038
40047;204,52;12;9,871;2071,9279
37847;NULL;NULL;NULL;NULL
40051;NULL;NULL;NULL;NULL
40058;718,1;21;5,876;12220,8986
40062;294;12;9,559;3075,6355
30330;469;21;6,03;7777,7778
40072;4473;21;5,594;79960,6721
40074;1740;36;9,193;18927,4448
40026;336;21;6,26;5367,4121
40018;NULL;NULL;NULL;NULL
40082;374,6;21;5,92;6327,7027
61494;210;21;6,1;3442,623
62016;NULL;NULL;NULL;NULL
62054;NULL;NULL;NULL;NULL
62063;NULL;NULL;NULL;NULL
62079;313,36;21;5,8185685492;5385,43
62082;181,28;21;5,8189988888;3115,31
62122;751,53;21;5,642;13320,2765
61806;400;21;5,8;6896,5517
62153;99,66;21;6,137;1623,9205
62253;159,87;21;6,1;2620,8197
62256;268,95;12;9,605;2800,1041
62190;NULL;NULL;NULL;NULL
62993;376,14;22;5,309999977;7083,62
62303;NULL;NULL;NULL;NULL
62151;188,7;21;5,795;3256,2554
62321;NULL;NULL;NULL;NULL
69141;NULL;NULL;NULL;NULL
62336;33,53;12;9,5432159903;351,3
62339;NULL;NULL;NULL;NULL
62341;258;NULL;6,1;4229,5082
62342;222;NULL;6,1;3639,3443
73694;744;5;5,642;13186,8132
62365;150;18;7,192;2085,6507
62019;NULL;NULL;NULL;NULL
62299;NULL;NULL;NULL;NULL
62389;NULL;NULL;NULL;NULL
60578;NULL;NULL;NULL;NULL
60798;4457,9;22;5,4036854278;82497,46
62397;1240,6;22;5,4036854278;22958,47
62402;NULL;NULL;NULL;NULL
62176;NULL;NULL;NULL;NULL
62370;577,5;21;5,642;10235,732
62401;139,35;21;6,471;2153,4539
62450;NULL;NULL;NULL;NULL
62447;583,53;36;9,424;6191,9567
62455;340,95;21;5,795;5883,5203
62406;306,24;21;5,8185685492;5263,15
61496;1129;16;7,144;15803,4714
