siren;siret
484356761;48435676100029
805077542;80507754200019
311337307;31133730700012
434436978;43443697800028
335199691;33519969100031
808112841;80811284100024
812515443;81251544300016
525277026;52527702600015
412831927;41283192700030
210901260;21090126000013
328922919;32892291900043
447814641;44781464100018
532968583;53296858300015
220900013;22090001300016
450052162;45005216200010
394344246;39434424600019
521625152;52162515200025
833089386;83308938600019
522547892;52254789200029
802733394;80273339400026
504964180;50496418000013
479022360;479022360
479272510;479272510
479278988;479278988
479356834;479356834
479480279;479480279
479795452;479795452
479884140;479884140
480017896;480017896
480049501;480049501
480293398;480293398
[NULL];[NULL]
480363373;480363373
480363522;480363522
480365345;480365345
480447549;480447549
480808740;480808740
480861665;480861665
480906486;480906486
481027209;481027209
481056554;481056554
481276814;481276814
481318319;481318319
481973170;481973170
482060050;482060050
482219201;482219201
482335221;482335221
482414182;482414182
483043337;483043337
483131652;483131652
483643193;483643193
483788337;483788337
484028964;484028964
484311360;484311360
418099123;41809912300030
334533387;33453338700000
776968281;77696828100000
320060403;32006040300039
399807361;39980736100000
378455216;37845521600000
377700604;37770060400000
423827971;42382797100015
320861818;32086181800401
435314075;43531407500019
447797739;44779773900029
519180137;51918013700027
342043528;34204352800872
306329533;30632953300021
484314976;484314976
484515275;484515275
484887955;484887955
485050660;485050660
485165161;485165161
485308738;485308738
488118779;488118779
488237546;488237546
488767369;488767369
488839424;488839424
488842147;488842147
[NULL];[NULL]
488848748;488848748
489044651;489044651
489468850;489468850
489545277;489545277
489686386;489686386
489822395;489822395
489941187;489941187
490099280;490099280
490111994;490111994
490319852;490319852
490530540;490530540
490866480;490866480
491180790;491180790
491371282;491371282
491457883;491457883
491543435;491543435
491696902;491696902
492006242;492006242
492290929;492290929
492563861;492563861
492827506;492827506
492840038;492840038
492846670;492846670
493182281;493182281
418528436;41852843600045
485095079;485095079
395063837;39506383700000
481586113;48158611300013
484421920;484421920
393005046;39300504600023
344289749;34428974900022
352062251;35206225100025
493431951;493431951
493465371;493465371
493833685;493833685
493857577;493857577
494078900;494078900
494106834;494106834
494193329;494193329
494361066;494361066
494550965;494550965
494658925;494658925
495050890;495050890
495104606;495104606
495332017;495332017
497662130;497662130
497836361;497836361
497847517;497847517
498758903;498758903
498856624;498856624
499023117;499023117
499338168;499338168
499504223;499504223
499725844;499725844
499875847;499875847
500015094;500015094
500084041;500084041
500087598;500087598
500359484;500359484
500751789;500751789
500854732;500854732
500900410;500900410
501053672;501053672
501119119;501119119
501241723;501241723
501270631;501270631
501275630;501275630
501286868;501286868
501494611;501494611
501629307;501629307
389505892;38950589200000
501656011;501656011
501657209;501657209
501911267;501911267
[NULL];[NULL]
399695204;39969520400053
501966188;501966188
387721913;38772191300037
349291740;34929174000042
[NULL];[NULL]
[NULL];[NULL]
402620553;40262055300014
502024961;502024961
502225949;502225949
502243983;502243983
378879159;37887915900010
320861818;32086181800393
502538424;502538424
434743480;43474348000213
511781940;51178194000032
502657000;502657000
502892508;502892508
503475618;503475618
503530362;503530362
503532293;503532293
503650277;503650277
503881351;503881351
503959074;503959074
503986929;503986929
[NULL];[NULL]
504055526;504055526
504327842;504327842
504394966;504394966
504570474;504570474
504912072;504912072
504993981;504993981
505131854;505131854
505133074;505133074
505187369;505187369
505273698;505273698
507521920;507521920
507647493;507647493
507833911;507833911
507844694;507844694
508005931;508005931
402624191;40262419100043
508031846;508031846
508391828;508391828
508770567;508770567
509240784;509240784
509246229;509246229
509359840;509359840
509461612;509461612
809387327;80938732700012
414301325;41430132500018
384524344;38452434400023
509475695;509475695
509490264;509490264
510698137;510698137
510994601;510994601
511097487;511097487
511226227;511226227
511432106;511432106
511876476;511876476
511890683;511890683
511917874;511917874
512258849;512258849
512437211;512437211
512594037;512594037
513115956;513115956
513504498;513504498
513955989;513955989
514118025;514118025
514563337;514563337
514780048;514780048
515210797;515210797
515339554;515339554
515352474;515352474
517476735;517476735
517585154;517585154
518631866;518631866
518759162;518759162
519093850;519093850
519133219;519133219
491822060;49182206000019
519392575;519392575
519447221;519447221
519542740;519542740
519741292;519741292
514818913;514818913
519932925;51993292500018
309172997;30917299700046
352806319;35280631900013
193113842;19311384200317
700802564;70080256400026
820042554;82004255400015
528947872;52894787200024
303494835;30349483500034
318199759;31819975900016
776944266;77694426600019
640801353;64080135300015
393707153;39370715300051
519949739;519949739
520364035;520364035
521247163;521247163
521247163;521247163A
521377283;521377283
522021195;522021195
522635937;522635937
522722651;522722651
522846252;522846252
523372886;523372886
523476844;523476844
[NULL];[NULL]
523587764;523587764
523707800;523707800
523855104;523855104
523901395;523901395
[NULL];[NULL]
523903128;523903128
523910719;523910719
523963585;523963585
524293776;524293776
524830833;524830833
