siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;ref leaser;montant fin client
507502375;12643;01/07/2016;3 190.09;60;1;191.05;0;1.00;0.00;TRIMESTRE;NON;NON;15;QNU09129;18;0;OPA PARTNERS;bnp;Y0048124;3475.49
219103389;12175;13/06/2016;13 309.51;66;1;705.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;HRY03347;18;0;COMMUNE DE LIMOURS;bnp;Y0065109;13761.74
332077932;13100;01/07/2016;23 236.49;48;1;1650.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;75622594741YG;18;0;SUD EXPERTISE;bnp;Y0066750;24486.28
434198917;13167;01/07/2016;2 531.96;36;1;236.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;FAK19837;18;0;CRG;bnp;Y0069488;2680.30
394985766;13228;01/10/2016;8 889.77;63;1;498.00;0;1.00;0.00;TRIMESTRE;NON;NON;38.05;LSN6318970;18;0;SARL SED;bnp;Y0071856;9464.13
399276518;11085;24/05/2016;16 528.20;66;1;900.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD5944249;18;0;IF PRO;bnp;Y0073226;17649.14
489393173;13509;01/07/2016;23 042.09;66;1;1218.00;0;1.00;0.00;TRIMESTRE;NON;NON;97;V636402855;18;0;DIS-PONTAULT;bnp;Y0084324;24129.37
504084484;13590;01/07/2016;9 907.26;63;1;555.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD6354629;18;0;PERFORMIS IMMO;bnp;Y0088351;10547.27
508561156;13610;01/07/2016;6 607.10;63;1;372.57;0;1.00;0.00;TRIMESTRE;NON;NON;28.46;L8F5Z16490;18;0;AGENCE D'EMPLOI DES METIERS DE LA SANTE;bnp;Y0088966;7080.65
414538587;13607;01/10/2016;5 320.18;63;1;300.00;0;1.00;0.00;TRIMESTRE;NON;NON;22.92;L876249630;18;0;VINGT MAI INCENTIVE SERVICE;bnp;Y0088971;5701.64
315997726;13868;01/10/2016;13 399.67;66;1;726.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E156M332396;18;0;STARBAT;bnp;Y0099500;14382.89
552099467;14014;01/10/2016;28 896.14;63;1;1614.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LSN6519866;18;0;DENTAURUM FRANCE;bnp;Y0105557;30843.49
808858963;14143;01/01/2017;6 760.40;45;1;510.00;0;1.00;0.00;TRIMESTRE;NON;NON;28.73;QXL00774;18;0;SCM SETACOVA;bnp;Y0109214;7146.61
