Contrat;Contrat Leaser;Affaire;Nature;Client;Leaser;EchÃ©ance Client < EchÃ©ance Leaser;EchÃ©ance client non facturÃ©e ;Facture Client < Facture leaser ;Facture Client impayÃ©e ;Facture Client < Loyer client;Duree;Montant;Echeance;Prochaine;Debut;Fin;Facture Materiel;Visa rentabilitÃ© Ã©chÃ©ance;RentabilitÃ© PrÃ©visionnelle;RentabilitÃ© Attendue;RentabilitÃ© RÃ©elle
4062646;212241-F0;004-71015;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;16;17012,759765625;1199,4;07/07/2016;07/01/2015;06/01/2019;4935028;Non;1 008,05 â‚¬ / 5.93 %;1 701,28 â‚¬ / 10.00 %;-3 220,50 â‚¬ / -18.93 %
2020579;CTR-033679/0001;002-70092;INTERNE;C'PRO Groupe;ACECOM;Oui;Oui;Non;Non;Non;12;58303,53125;5304;01/07/2016;19/12/2014;31/12/2017;232 759 202 328 702;Non;-62,11 â‚¬ / -0.11 %;6 996,42 â‚¬ / 12.00 %;-5 154,65 â‚¬ / -8.84 %
3076597;CTR-033619/0001;003-69621;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;22;8468,9404296875;471;01/07/2016;10/02/2015;30/09/2020;3844820;Non;655,36 â‚¬ / 7.74 %;1 016,27 â‚¬ / 12.00 %;-936,89 â‚¬ / -11.06 %
03076754-BIS;215175-E0;003-65835;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Oui;Oui;Non;Non;Non;-1;0;-1;01/07/2016;01/01/2015;30/09/2014;3825945;Non;-12 392,69 â‚¬ / 0.00 %;0,00 â‚¬ / 12.00 %;-4 131,18 â‚¬ / 0.00 %
2020813;W0230178;002-73461;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;20;4611,7299804688;291;01/07/2016;05/02/2015;31/03/2020;2327407;Non;707,63 â‚¬ / 15.34 %;461,17 â‚¬ / 10.00 %;-1 162,45 â‚¬ / -25.21 %
3076606;X0007796;003-73861;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;21;2270,6101074219;146;01/07/2016;19/02/2015;30/06/2020;3845221;Non;523,91 â‚¬ / 23.07 %;227,06 â‚¬ / 10.00 %;250,24 â‚¬ / 11.02 %
2020830;205062-F0;002-74117;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;20;2082,080078125;138,25;01/07/2016;16/02/2015;31/03/2020;2328009;Non;608,84 â‚¬ / 29.24 %;208,21 â‚¬ / 10.00 %;-463,59 â‚¬ / -22.27 %
2020002;W0140389;002-60741;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;16;26467,58984375;1519;01/07/2016;01/04/2015;31/03/2019;2296136;Non;1 205,60 â‚¬ / 4.56 %;2 646,76 â‚¬ / 10.00 %;-1 788,25 â‚¬ / -6.76 %
3076620;W0170964;003-71107;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;21;12855,419921875;735,33;01/07/2016;01/01/2015;31/03/2020;3845347;Non;949,85 â‚¬ / 7.39 %;1 542,65 â‚¬ / 12.00 %;-3 377,95 â‚¬ / -26.28 %
4062678;215367-F0;004-73745;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Oui;Oui;Non;Non;Non;15;2295,830078125;173,7;01/07/2016;12/02/2015;31/12/2018;4935482;Non;-11 878,75 â‚¬ / -517.41 %;229,58 â‚¬ / 10.00 %;-4 388,66 â‚¬ / -191.16 %
6605226;CTR-033642/0001;006-73953;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;12;3583,6499023438;348,69;20/05/2016;20/02/2015;19/02/2018;666 721 606 667 217;Non;224,64 â‚¬ / 6.27 %;358,36 â‚¬ / 10.00 %;104,06 â‚¬ / 2.90 %
4062693;216016-F0;004-72079;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;12;1928,1400146484;185,5;01/07/2016;01/04/2015;31/03/2018;4935583;Non;130,57 â‚¬ / 6.77 %;192,81 â‚¬ / 10.00 %;796,05 â‚¬ / 41.29 %
6605231;CTR-033718/0001;006-64458;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;21;5435,7202148438;315;01/07/2016;27/02/2015;30/06/2020;6667286;Non;355,74 â‚¬ / 6.54 %;543,57 â‚¬ / 10.00 %;172,70 â‚¬ / 3.18 %
4062703;205856-F0;004-70870;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;20;2612,8200683594;169,05;01/07/2016;02/03/2015;31/03/2020;4935939;Non;645,40 â‚¬ / 24.70 %;313,54 â‚¬ / 12.00 %;148,84 â‚¬ / 5.70 %
4062704;CTR-033719/0001;004-71580;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;22;17586,970703125;950,4;01/07/2016;02/03/2015;30/09/2020;4935946;Non;494,08 â‚¬ / 2.81 %;2 110,44 â‚¬ / 12.00 %;531,32 â‚¬ / 3.02 %
04062505-ADJ;225241-F0;003-74077;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Oui;Oui;Non;Non;Non;19;3913,8898925781;179,25;01/07/2016;25/02/2015;31/12/2019;4935907;Non;-1 091,41 â‚¬ / -27.89 %;391,39 â‚¬ / 10.00 %;-1 183,95 â‚¬ / -30.25 %
2020865;204224-F0;002-73986;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;21;29945,4296875;1685,63;01/07/2016;02/03/2015;30/06/2020;232 868 802 333 496;Non;3 509,52 â‚¬ / 11.72 %;3 593,45 â‚¬ / 12.00 %;-1 970,71 â‚¬ / -6.58 %
