N° dossier Hexapage;N° fact HF;Leaser;Client final;SIREN;Fournisseur / Adhérent;Groupe;N° fact Adh;Facture HF HT;N° contrat Leaseur;MF HEXAPAGE
10108;5148;BNP PARIBAS LEASE GROUP;SIVU Albiac Mascarville Prunet;253103071;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 531,27 €;X0177657;5295,14
10109;5039;BNP PARIBAS LEASE GROUP;Isatis Immobilier;485053391;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 488,66 €;X0177397;4119,67
10124;6421;BNP PARIBAS LEASE GROUP;Aide Habitat;490668811;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 454,59 €;X0178165;1293,4
10130;5190;BNP PARIBAS LEASE GROUP;SCOMO;313886285;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 044,98 €;X0178310;6597
10137;5419;BNP PARIBAS LEASE GROUP;Agence Castraise;382858694;Perret Bureautique;Groupe BCMP;;11 059,36 €;X0178328;10515,03
10224;5178;BNP PARIBAS LEASE GROUP;ARTEL;405297441;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;41 421,14 €;X0196362;40524
10238;5179;BNP PARIBAS LEASE GROUP;Element 5;532565280;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 329,99 €;X0182066;2079,54
10251;5928;BNP PARIBAS LEASE GROUP;3L Foudre;482221751;Perret Bureautique;Groupe BCMP;;6 313,16 €;X0182753;5905,39
10257;5969;BNP PARIBAS LEASE GROUP;Ogecstegenev;776847030;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 422,62 €;X0183438;4184,15
10278;5120;BNP PARIBAS LEASE GROUP;Avantis Project;518925730;Perret Bureautique;Groupe BCMP;;3 352,51 €;X0184063;3076,74
10295;5610;BNP PARIBAS LEASE GROUP;Immobilière de Toulouse;424379410;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;15 717,55 €;X0184453;15082,77
10298;5324;BNP PARIBAS LEASE GROUP;Kines Pasteur;383505534;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;19 120,11 €;X0184719;18076,94
10310;5274;BNP PARIBAS LEASE GROUP;Verdone;348097106;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;12 725,70 €;X0184860;12099,47
10311;5491;BNP PARIBAS LEASE GROUP;ADMR Nord;493582357;Perret Bureautique;Groupe BCMP;;6 268,62 €;X0218625;5869,92
